Emission Factor,Silt,Mg,ton,kmh,mph,Wheels,Moisture
Industrial Roads (Equation 1a),1.8-25.2,1.8-260,2-290,8-69,5-43,4-17,0.03-13
Public Roads (Equation 1b),1.8-35,1.4-2.7,1.5-3,16-88,10-55,4-4.8,0.03-13
